token,count,coverage_percent
a,25977,0.40
qq,25231,0.39
123,13250,0.21
com,9361,0.15
q,5319,0.08
2010,4695,0.07
520,4623,0.07
w,4148,0.06
z,4102,0.06
123456,3648,0.06
123456789,3431,0.05
2009,3328,0.05
2008,3318,0.05
163,2670,0.04
521,2564,0.04
1314,2560,0.04
wang,2474,0.04
aa,2383,0.04
1234,2319,0.04
li,2311,0.04
liu,2231,0.03
s,2059,0.03
1987,2016,0.03
asd,1991,0.03
007,1990,0.03
zhang,1945,0.03
l,1914,0.03
1988,1901,0.03
001,1820,0.03
x,1818,0.03
abc,1743,0.03
1989,1736,0.03
chen,1675,0.03
126,1628,0.03
as,1622,0.03
11,1574,0.02
88,1560,0.02
888,1553,0.02
c,1522,0.02
12,1507,0.02
12345678,1496,0.02
111,1463,0.02
yang,1432,0.02
12345,1370,0.02
1986,1356,0.02
y,1343,0.02
zx,1340,0.02
110,1331,0.02
ly,1271,0.02
h,1245,0.02
zy,1223,0.02
yy,1159,0.02
99,1112,0.02
1985,1108,0.02
1990,1094,0.02
yu,1087,0.02
qwe,1069,0.02
1984,1053,0.02
00,1043,0.02
cn,1032,0.02
sun,1022,0.02
2000,997,0.02
lin,994,0.02
2006,983,0.02
1983,972,0.02
zj,964,0.01
2007,961,0.01
zz,959,0.01
b,957,0.01
qw,954,0.01
m,921,0.01
1982,911,0.01
01,886,0.01
168,884,0.01
f,882,0.01
love,874,0.01
aaa,861,0.01
21,856,0.01
wy,853,0.01
zl,850,0.01
d,843,0.01
wj,838,0.01
cc,816,0.01
wei,808,0.01
000,799,0.01
lj,798,0.01
999,795,0.01
5201314,793,0.01
wu,790,0.01
zxc,784,0.01
2005,777,0.01
xu,769,0.01
ww,754,0.01
k,752,0.01
long,746,0.01
huang,743,0.01
zhou,734,0.01
t,730,0.01
g,716,0.01
j,715,0.01
zh,709,0.01
www,698,0.01
feng,686,0.01
23,684,0.01
cs,684,0.01
zhao,684,0.01
xiao,682,0.01
hu,671,0.01
