token,weighted_count,coverage_percent
13,311.50,0.0703
com,247.00,0.0558
123,236.00,0.0533
12,234.00,0.0528
23,217.50,0.0491
22,211.00,0.0476
21,203.50,0.0460
11,168.50,0.0380
24,161.00,0.0364
01,153.50,0.0347
88,141.00,0.0318
10,136.00,0.0307
77,132.00,0.0298
09,125.50,0.0283
17,122.00,0.0275
99,110.50,0.0250
08,109.00,0.0246
25,106.00,0.0239
87,105.00,0.0237
14,102.50,0.0231
27,99.00,0.0224
89,99.00,0.0224
07,98.00,0.0221
33,96.00,0.0217
18,93.50,0.0211
16,87.00,0.0196
15,85.50,0.0193
19,85.00,0.0192
86,80.50,0.0182
28,80.50,0.0182
69,79.00,0.0178
06,78.50,0.0177
20,73.50,0.0166
03,71.50,0.0161
05,71.50,0.0161
32,70.00,0.0158
m,69.50,0.0157
44,68.50,0.0155
76,68.00,0.0154
78,66.00,0.0149
26,64.00,0.0145
85,60.50,0.0137
04,59.50,0.0134
a,59.50,0.0134
83,59.00,0.0133
42,59.00,0.0133
82,59.00,0.0133
79,58.00,0.0131
29,56.50,0.0128
55,56.50,0.0128
84,55.50,0.0125
92,55.50,0.0125
31,55.00,0.0124
75,55.00,0.0124
66,54.50,0.0123
81,54.50,0.0123
777,54.50,0.0123
101,50.50,0.0114
02,49.50,0.0112
00,49.50,0.0112
34,49.00,0.0111
30,48.50,0.0110
91,47.50,0.0107
72,46.00,0.0104
93,44.50,0.0100
56,44.00,0.0099
c,43.50,0.0098
2009,43.50,0.0098
j,43.00,0.0097
s,42.50,0.0096
007,42.50,0.0096
71,42.00,0.0095
57,42.00,0.0095
73,41.00,0.0093
k,40.50,0.0091
67,38.50,0.0087
90,38.50,0.0087
64,37.00,0.0084
80,37.00,0.0084
420,34.50,0.0078
74,34.00,0.0077
2007,33.50,0.0076
2008,33.50,0.0076
59,33.00,0.0075
yahoo,33.00,0.0075
95,33.00,0.0075
45,32.00,0.0072
47,31.50,0.0071
35,30.50,0.0069
99999,30.50,0.0069
98,30.00,0.0068
94,30.00,0.0068
2000,29.50,0.0067
2006,29.00,0.0065
001,29.00,0.0065
37,28.00,0.0063
co,27.00,0.0061
68,26.50,0.0060
333,26.50,0.0060
63,26.50,0.0060
51,26.50,0.0060
aol,26.00,0.0059
97,26.00,0.0059
54,26.00,0.0059
b,25.50,0.0058
